date,code,settlement_month,par_value,capital_stock,listed_stock,credit_rate,year_highest,year_lowest,market_cap,ROE,EPS,foreign_rate,sub_price,PER,PBR,EV,BPS,gross_profit,operation_income,net_income,250highest,250lowest,upper_limit,lower_limit,standard_price,250highest_date,250lowest_date,250lowest_rate,trading_rate,outstanding_stock,outstanding_rate,회사명,종목코드,업종,주요제품,상장일
20221102,060560,12,500.0,638.0,127670.0,3.14,1850.0,1005.0,1404.0,9.2,82.0,2.27,770.0,13.45,1.07,5.99,1024.0,3250.0,166.0,137.0,1935.0,1005.0,1435.0,775.0,1105.0,20211028,20221013,9.45,88.42,56961.0,44.6,NaN,NaN,NaN,NaN,NaN
20221103,060560,12,500.0,638.0,127670.0,3.13,1850.0,1005.0,1398.0,9.2,82.0,2.27,770.0,13.39,1.07,5.98,1024.0,3250.0,166.0,137.0,1915.0,1005.0,1430.0,770.0,1100.0,20211029,20221013,8.96,103.32,56961.0,44.6,NaN,NaN,NaN,NaN,NaN
20221104,060560,12,500.0,638.0,127670.0,3.1,1850.0,1005.0,1404.0,9.2,82.0,2.3,760.0,13.45,1.07,5.99,1024.0,3250.0,166.0,137.0,1850.0,1005.0,1420.0,770.0,1095.0,20220429,20221013,9.45,80.36,56961.0,44.6,NaN,NaN,NaN,NaN,NaN
20221105,060560,12,500.0,638.0,127670.0,3.1,1850.0,1005.0,1404.0,9.2,82.0,2.32,760.0,13.45,1.07,5.99,1024.0,3250.0,166.0,137.0,1850.0,1005.0,1420.0,770.0,1095.0,20220429,20221013,9.45,80.67,56961.0,44.6,NaN,NaN,NaN,NaN,NaN
20221106,060560,12,500.0,638.0,127670.0,3.11,1850.0,1005.0,1404.0,9.2,82.0,2.32,760.0,13.45,1.07,5.99,1024.0,3250.0,166.0,137.0,1850.0,1005.0,1420.0,770.0,1095.0,20220429,20221013,9.45,80.67,56961.0,44.6,NaN,NaN,NaN,NaN,NaN
20221107,060560,12,500.0,638.0,127670.0,3.11,1850.0,1005.0,1417.0,9.2,82.0,2.32,770.0,13.57,1.08,6.03,1024.0,3250.0,166.0,137.0,1850.0,1005.0,1430.0,770.0,1100.0,20220429,20221013,10.45,108.95,56961.0,44.6,NaN,NaN,NaN,NaN,NaN
20221108,060560,12,500.0,638.0,127670.0,3.11,1850.0,1005.0,1417.0,9.2,82.0,2.37,770.0,13.57,1.08,6.03,1024.0,3250.0,166.0,137.0,1850.0,1005.0,1430.0,770.0,1100.0,20220429,20221013,10.45,109.16,56961.0,44.6,NaN,NaN,NaN,NaN,NaN
20221109,060560,12,500.0,638.0,127670.0,3.08,1850.0,1005.0,1462.0,9.2,82.0,2.42,790.0,14.0,1.12,6.16,1024.0,3250.0,166.0,137.0,1850.0,1005.0,1475.0,795.0,1135.0,20220429,20221013,13.93,70.9,56961.0,44.6,NaN,NaN,NaN,NaN,NaN
20221110,060560,12,500.0,638.0,127670.0,3.06,1850.0,1005.0,1475.0,9.2,82.0,2.48,800.0,14.12,1.13,6.2,1024.0,3250.0,166.0,137.0,1850.0,1005.0,1485.0,805.0,1145.0,20220429,20221013,14.93,72.36,56961.0,44.6,NaN,NaN,NaN,NaN,NaN
20221111,060560,12,500.0,638.0,127670.0,3.05,1850.0,1005.0,1500.0,9.2,82.0,2.48,800.0,14.37,1.15,6.27,1024.0,3250.0,166.0,137.0,1850.0,1005.0,1500.0,810.0,1155.0,20220429,20221013,16.92,140.68,56961.0,44.6,NaN,NaN,NaN,NaN,NaN
20221112,060560,12,500.0,638.0,127670.0,3.04,1850.0,1005.0,1500.0,9.2,82.0,2.49,800.0,14.37,1.15,6.27,1024.0,3250.0,166.0,137.0,1850.0,1005.0,1500.0,810.0,1155.0,20220429,20221013,16.92,141.52,56961.0,44.6,NaN,NaN,NaN,NaN,NaN
20221114,060560,12,500.0,638.0,127670.0,3.04,1850.0,1005.0,1513.0,9.2,82.0,2.49,820.0,14.49,1.16,6.31,1024.0,3250.0,166.0,137.0,1850.0,1005.0,1525.0,825.0,1175.0,20220429,20221013,17.91,111.0,56961.0,44.6,NaN,NaN,NaN,NaN,NaN
20221115,060560,12,500.0,638.0,127670.0,3.02,1850.0,1005.0,1538.0,9.2,82.0,2.61,820.0,14.73,1.18,6.38,1024.0,3250.0,166.0,137.0,1850.0,1005.0,1540.0,830.0,1185.0,20220429,20221013,19.9,64.03,56961.0,44.6,NaN,NaN,NaN,NaN,NaN
20221116,060560,12,500.0,638.0,127670.0,3.03,1850.0,1005.0,1545.0,9.2,82.0,2.63,840.0,14.8,1.18,6.4,1024.0,3250.0,166.0,137.0,1850.0,1005.0,1565.0,845.0,1205.0,20220429,20221013,20.4,101.06,56961.0,44.6,NaN,NaN,NaN,NaN,NaN
20221117,060560,12,500.0,638.0,127670.0,2.95,1850.0,1005.0,1570.0,9.2,82.0,2.59,840.0,15.04,1.2,6.47,1024.0,3250.0,166.0,137.0,1850.0,1005.0,1570.0,850.0,1210.0,20220429,20221013,22.39,357.41,56961.0,44.6,NaN,NaN,NaN,NaN,NaN
20221118,060560,12,500.0,638.0,127670.0,2.95,1850.0,1005.0,1634.0,9.2,82.0,2.52,860.0,15.65,1.25,6.65,1024.0,3250.0,166.0,137.0,1850.0,1005.0,1595.0,865.0,1230.0,20220429,20221013,27.36,145.64,56961.0,44.6,NaN,NaN,NaN,NaN,NaN
20221119,060560,12,500.0,638.0,127670.0,2.96,1850.0,1005.0,1634.0,9.2,82.0,2.42,860.0,15.65,1.25,6.65,1024.0,3250.0,166.0,137.0,1850.0,1005.0,1595.0,865.0,1230.0,20220429,20221013,27.36,147.26,56961.0,44.6,NaN,NaN,NaN,NaN,NaN
20221121,060560,12,500.0,638.0,127670.0,2.96,1850.0,1005.0,1558.0,9.2,82.0,2.42,890.0,14.92,1.19,6.43,1024.0,3250.0,166.0,137.0,1850.0,1005.0,1660.0,900.0,1280.0,20220429,20221013,21.39,94.15,56961.0,44.6,NaN,NaN,NaN,NaN,NaN
20221122,060560,12,500.0,638.0,127670.0,2.98,1850.0,1005.0,1564.0,9.2,82.0,2.13,850.0,14.98,1.2,6.45,1024.0,3250.0,166.0,137.0,1850.0,1005.0,1585.0,855.0,1220.0,20220429,20221013,21.89,43.15,56961.0,44.6,NaN,NaN,NaN,NaN,NaN
20221123,060560,12,500.0,638.0,127670.0,2.93,1850.0,1005.0,1589.0,9.2,82.0,2.17,850.0,15.22,1.22,6.52,1024.0,3250.0,166.0,137.0,1850.0,1005.0,1590.0,860.0,1225.0,20220429,20221013,23.88,208.27,56961.0,44.6,NaN,NaN,NaN,NaN,NaN
20221124,060560,12,500.0,638.0,127670.0,3.08,1850.0,1005.0,1596.0,9.2,82.0,2.24,870.0,15.28,1.22,6.54,1024.0,3250.0,166.0,137.0,1850.0,1005.0,1615.0,875.0,1245.0,20220429,20221013,24.38,19.82,56961.0,44.6,NaN,NaN,NaN,NaN,NaN
20221125,060560,12,500.0,638.0,127670.0,3.07,1850.0,1005.0,1609.0,9.2,82.0,2.27,870.0,15.41,1.23,6.58,1024.0,3250.0,166.0,137.0,1850.0,1005.0,1625.0,875.0,1250.0,20220429,20221013,25.37,107.24,56961.0,44.6,NaN,NaN,NaN,NaN,NaN
20221128,060560,12,500.0,638.0,127670.0,3.11,1850.0,1005.0,1641.0,9.2,82.0,2.05,880.0,15.71,1.25,6.67,1024.0,3250.0,166.0,137.0,1850.0,1005.0,1635.0,885.0,1260.0,20220429,20221013,27.86,4613.21,56961.0,44.6,NaN,NaN,NaN,NaN,NaN
20221129,060560,12,500.0,638.0,127670.0,3.11,1850.0,1005.0,1641.0,9.2,82.0,2.05,880.0,15.71,1.25,6.67,1024.0,3250.0,166.0,137.0,1850.0,1005.0,1635.0,885.0,1260.0,20220429,20221013,27.86,4613.21,56961.0,44.6,NaN,NaN,NaN,NaN,NaN
20221130,060560,12,500.0,638.0,127670.0,3.04,1850.0,1005.0,1692.0,9.2,82.0,2.26,900.0,16.2,1.29,6.82,1024.0,3250.0,166.0,137.0,1850.0,1005.0,1675.0,905.0,1290.0,20220429,20221013,31.84,122.69,56961.0,44.6,NaN,NaN,NaN,NaN,NaN
20221201,060560,12,500.0,638.0,127670.0,3.36,1850.0,1005.0,1730.0,9.2,82.0,2.2,920.0,16.57,1.32,6.93,1024.0,3250.0,166.0,137.0,1850.0,1005.0,1720.0,930.0,1325.0,20220429,20221013,34.83,135.91,56961.0,44.6,NaN,NaN,NaN,NaN,NaN
20221202,060560,12,500.0,638.0,127670.0,3.34,1850.0,1005.0,1692.0,9.2,82.0,2.15,940.0,16.2,1.29,6.82,1024.0,3250.0,166.0,137.0,1850.0,1005.0,1760.0,950.0,1355.0,20220429,20221013,31.84,27.19,56961.0,44.6,NaN,NaN,NaN,NaN,NaN
20221205,060560,12,500.0,638.0,127670.0,3.42,1850.0,1005.0,1692.0,9.2,82.0,2.13,920.0,16.2,1.29,6.82,1024.0,3250.0,166.0,137.0,1850.0,1005.0,1720.0,930.0,1325.0,20220429,20221013,31.84,80.5,56961.0,44.6,NaN,NaN,NaN,NaN,NaN
20221206,060560,12,500.0,638.0,127670.0,3.44,1850.0,1005.0,1672.0,9.2,82.0,2.25,920.0,16.02,1.28,6.76,1024.0,3250.0,166.0,137.0,1850.0,1005.0,1720.0,930.0,1325.0,20220429,20221013,30.35,135.24,56961.0,44.6,NaN,NaN,NaN,NaN,NaN
20221207,060560,12,500.0,638.0,127670.0,3.42,1850.0,1005.0,1672.0,9.2,82.0,2.22,910.0,16.02,1.28,6.76,1024.0,3250.0,166.0,137.0,1850.0,1005.0,1700.0,920.0,1310.0,20220429,20221013,30.35,51.39,56961.0,44.6,NaN,NaN,NaN,NaN,NaN
